,Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount,suburb_count,CouncilArea_mode
43,Airport West,1/37 Hillside Gr,3,h,600000.0,S,Maddison,4/03/2017,13.5,3042.0,2.0,1.0,1.0,290.0,116.0,Moonee Valley,-37.7273,144.8744,Western Metropolitan,3464.0,67,Moonee Valley
44,Airport West,2/49 McIntosh St,2,u,500000.0,VB,Barry,4/03/2017,13.5,3042.0,2.0,1.0,1.0,168.0,86.0,Moonee Valley,-37.7215,144.8864,Western Metropolitan,3464.0,67,Moonee Valley
45,Airport West,54 Marshall Rd,3,h,720000.0,S,Barry,6/08/2016,13.5,3042.0,2.0,1.0,1.0,620.0,137.37442942647843,Moonee Valley,-37.7173,144.8872,Western Metropolitan,3464.0,67,Moonee Valley
46,Airport West,36 Roberts Rd,4,h,785000.0,S,Considine,6/08/2016,13.5,3042.0,3.0,1.0,2.0,597.0,127.0,Moonee Valley,-37.7259,144.8792,Western Metropolitan,3464.0,67,Moonee Valley
47,Airport West,11 Harrington Rd,6,h,725000.0,SP,Barry,7/05/2016,13.5,3042.0,6.0,3.0,2.0,976.0,186.0,Moonee Valley,-37.7239,144.8735,Western Metropolitan,3464.0,67,Moonee Valley
48,Airport West,2/252 Parer Rd,2,t,450000.0,S,Barry,7/05/2016,13.5,3042.0,2.0,1.0,1.0,110.0,90.0,Moonee Valley,-37.7216,144.871,Western Metropolitan,3464.0,67,Moonee Valley
49,Airport West,3/19 Hart St,2,u,515000.0,S,Barry,7/11/2016,13.5,3042.0,2.0,1.0,1.0,141.0,73.0,Moonee Valley,-37.7298,144.8883,Western Metropolitan,3464.0,67,Moonee Valley
50,Airport West,2/62 Clydesdale Rd,2,u,530000.0,S,Nelson,10/09/2016,13.5,3042.0,2.0,1.0,1.0,120.0,94.0,Moonee Valley,-37.7234,144.8792,Western Metropolitan,3464.0,67,Moonee Valley
51,Airport West,3 Deidre Ct,3,h,895000.0,PI,Rendina,10/09/2016,13.5,3042.0,3.0,1.0,6.0,1063.0,133.0,Moonee Valley,-37.7249,144.8728,Western Metropolitan,3464.0,67,Moonee Valley
52,Airport West,13 Etzel St,3,h,805000.0,S,Nelson,10/12/2016,13.5,3042.0,3.0,1.0,1.0,0.0,105.0,Moonee Valley,-37.7217,144.8783,Western Metropolitan,3464.0,67,Moonee Valley
53,Airport West,1/43 Cameron St,3,u,752000.0,S,Nelson,11/02/2017,13.5,3042.0,3.0,1.0,1.0,265.0,130.0,Moonee Valley,-37.7302,144.8855,Western Metropolitan,3464.0,67,Moonee Valley
54,Airport West,145a Victory Rd,2,u,440000.0,S,Barry,13/08/2016,13.5,3042.0,2.0,1.0,1.0,192.0,137.37442942647843,Moonee Valley,-37.7177,144.8787,Western Metropolitan,3464.0,67,Moonee Valley
55,Airport West,241 Parer Rd,5,h,755000.0,PI,Propertyau,14/05/2016,13.5,3042.0,3.0,2.0,2.0,596.0,137.37442942647843,Moonee Valley,-37.7248,144.8699,Western Metropolitan,3464.0,67,Moonee Valley
56,Airport West,2/40 Earl St,3,t,700000.0,PI,Brad,15/10/2016,13.5,3042.0,3.0,2.0,2.0,165.0,133.0,Moonee Valley,-37.727,144.887,Western Metropolitan,3464.0,67,Moonee Valley
57,Airport West,180 Parer Rd,3,h,830000.0,S,Barry,16/04/2016,13.5,3042.0,3.0,1.0,2.0,971.0,113.0,Moonee Valley,-37.7186,144.876,Western Metropolitan,3464.0,67,Moonee Valley
58,Airport West,4/54 Hawker St,2,u,462500.0,S,Barry,16/07/2016,13.5,3042.0,2.0,1.0,1.0,164.0,137.37442942647843,Moonee Valley,-37.7218,144.8863,Western Metropolitan,3464.0,67,Moonee Valley
59,Airport West,43 Hillside Gr,3,h,670000.0,SP,Barry,16/07/2016,13.5,3042.0,3.0,2.0,2.0,657.0,137.37442942647843,Moonee Valley,-37.7269,144.8742,Western Metropolitan,3464.0,67,Moonee Valley
60,Airport West,174 Parer Rd,2,h,675000.0,S,Barry,16/07/2016,13.5,3042.0,2.0,1.0,1.0,612.0,100.0,Moonee Valley,-37.7187,144.8765,Western Metropolitan,3464.0,67,Moonee Valley
61,Airport West,138 Victory Rd,3,h,1042000.0,S,Nelson,16/07/2016,13.5,3042.0,3.0,2.0,5.0,612.0,174.0,Moonee Valley,-37.7173,144.8796,Western Metropolitan,3464.0,67,Moonee Valley
62,Airport West,75 King St,3,h,910000.0,S,McDonald,17/09/2016,13.5,3042.0,3.0,1.0,1.0,775.0,137.37442942647843,Moonee Valley,-37.7231,144.8835,Western Metropolitan,3464.0,67,Moonee Valley
63,Airport West,6 Kittyhawk St,4,h,773000.0,S,Brad,17/09/2016,13.5,3042.0,5.0,3.0,4.0,531.0,309.0,Moonee Valley,-37.7263,144.8679,Western Metropolitan,3464.0,67,Moonee Valley
64,Airport West,478 Fullarton Rd,3,h,810000.0,PI,Barry,18/03/2017,13.5,3042.0,3.0,3.0,2.0,555.0,192.0,Moonee Valley,-37.7285,144.8694,Western Metropolitan,3464.0,67,Moonee Valley
65,Airport West,144 Marshall Rd,3,h,715000.0,S,Rendina,18/03/2017,13.5,3042.0,3.0,2.0,2.0,422.0,126.0,Moonee Valley,-37.7164,144.8792,Western Metropolitan,3464.0,67,Moonee Valley
66,Airport West,106 Parer Rd,3,h,790000.0,S,Nelson,18/03/2017,13.5,3042.0,3.0,1.0,3.0,614.0,137.37442942647843,Moonee Valley,-37.7194,144.8827,Western Metropolitan,3464.0,67,Moonee Valley
67,Airport West,3/7 South Rd,3,t,540000.0,SP,Nelson,18/06/2016,13.5,3042.0,2.0,2.0,1.0,161.0,101.0,Moonee Valley,-37.7231,144.8802,Western Metropolitan,3464.0,67,Moonee Valley
68,Airport West,37 North St,3,t,825000.0,SP,Barry,19/11/2016,13.5,3042.0,3.0,2.0,1.0,293.0,102.0,Moonee Valley,-37.72,144.8776,Western Metropolitan,3464.0,67,Moonee Valley
69,Airport West,10 Hilbert Rd,3,h,685000.0,S,Barry,22/05/2016,13.5,3042.0,3.0,1.0,1.0,579.0,113.0,Moonee Valley,-37.7226,144.8733,Western Metropolitan,3464.0,67,Moonee Valley
70,Airport West,110 Halsey Rd,3,h,805000.0,S,Barry,22/08/2016,13.5,3042.0,3.0,1.0,1.0,623.0,137.37442942647843,Moonee Valley,-37.7184,144.882,Western Metropolitan,3464.0,67,Moonee Valley
71,Airport West,2/13 North St,2,u,510000.0,S,Nelson,22/08/2016,13.5,3042.0,2.0,1.0,1.0,141.0,76.0,Moonee Valley,-37.7202,144.8797,Western Metropolitan,3464.0,67,Moonee Valley
72,Airport West,105a Victory Rd,3,h,612000.0,S,Nelson,22/08/2016,13.5,3042.0,3.0,2.0,1.0,212.0,137.37442942647843,Moonee Valley,-37.7181,144.8824,Western Metropolitan,3464.0,67,Moonee Valley
73,Airport West,117 Marshall Rd,3,h,662000.0,S,Brad,23/04/2016,13.5,3042.0,3.0,1.0,2.0,612.0,137.37442942647843,Moonee Valley,-37.7169,144.8815,Western Metropolitan,3464.0,67,Moonee Valley
74,Airport West,34 Moorna Dr,4,h,978000.0,S,Nelson,24/09/2016,13.5,3042.0,4.0,3.0,2.0,532.0,137.37442942647843,Moonee Valley,-37.7263,144.869,Western Metropolitan,3464.0,67,Moonee Valley
75,Airport West,33 North St,3,h,720000.0,PI,Nelson,25/02/2017,13.5,3042.0,3.0,1.0,1.0,585.0,137.37442942647843,Moonee Valley,-37.72,144.878,Western Metropolitan,3464.0,67,Moonee Valley
76,Airport West,49 Roberts Rd,4,h,765000.0,S,Prof.,27/11/2016,13.5,3042.0,4.0,1.0,2.0,509.0,137.37442942647843,Moonee Valley,-37.7261,144.8785,Western Metropolitan,3464.0,67,Moonee Valley
77,Airport West,85 Roberts Rd,4,h,900000.0,S,Harcourts,27/11/2016,13.5,3042.0,4.0,2.0,3.0,628.0,146.0,Moonee Valley,-37.7256,144.8739,Western Metropolitan,3464.0,67,Moonee Valley
78,Albert Park,105 Kerferd Rd,2,h,1275000.0,S,hockingstuart,3/09/2016,3.3,3206.0,2.0,1.0,0.0,120.0,82.0,Port Phillip,-37.8459,144.9555,Southern Metropolitan,3280.0,59,Port Phillip
79,Albert Park,85 Richardson St,2,h,1455000.0,S,Thomson,3/09/2016,3.3,3206.0,2.0,1.0,0.0,159.0,137.37442942647843,Port Phillip,-37.845,144.9538,Southern Metropolitan,3280.0,59,Port Phillip
80,Albert Park,94 Graham St,3,h,1850000.0,S,Greg,4/03/2017,3.3,3206.0,3.0,2.0,0.0,128.0,133.0,Port Phillip,-37.8452,144.9488,Southern Metropolitan,3280.0,59,Port Phillip
81,Albert Park,396 Montague St,2,h,1436000.0,S,RT,4/03/2017,3.3,3206.0,2.0,1.0,0.0,130.0,81.0,Port Phillip,-37.8431,144.9565,Southern Metropolitan,3280.0,59,Port Phillip
82,Albert Park,75 Graham St,2,h,1110000.0,S,Marshall,6/08/2016,3.3,3206.0,1.0,1.0,0.0,147.0,137.37442942647843,Port Phillip,-37.8444,144.9484,Southern Metropolitan,3280.0,59,Port Phillip
83,Albert Park,54 Brooke St,2,h,1550000.0,S,Sotheby's,7/05/2016,3.3,3206.0,2.0,1.0,1.0,167.0,137.37442942647843,Port Phillip,-37.8405,144.9521,Southern Metropolitan,3280.0,59,Port Phillip
84,Albert Park,104 Richardson St,4,h,2300000.0,S,Marshall,7/05/2016,3.3,3206.0,4.0,2.0,1.0,153.0,180.0,Port Phillip,-37.8447,144.9523,Southern Metropolitan,3280.0,59,Port Phillip
85,Albert Park,4a Mills St,3,t,1550000.0,VB,Marshall,7/11/2016,3.3,3206.0,3.0,2.0,2.0,718.0,137.37442942647843,Port Phillip,-37.8443,144.9598,Southern Metropolitan,3280.0,59,Port Phillip
86,Albert Park,1 Moubray St,3,h,1800000.0,VB,Greg,7/11/2016,3.3,3206.0,3.0,2.0,1.0,132.0,159.0,Port Phillip,-37.8415,144.952,Southern Metropolitan,3280.0,59,Port Phillip
87,Albert Park,29 Faussett St,2,h,2120000.0,S,Greg,10/09/2016,3.3,3206.0,2.0,1.0,1.0,199.0,107.0,Port Phillip,-37.8422,144.9554,Southern Metropolitan,3280.0,59,Port Phillip
88,Albert Park,3 Herbert St,3,h,1800000.0,VB,Cayzer,10/09/2016,3.3,3206.0,3.0,1.0,1.0,253.0,137.37442942647843,Port Phillip,-37.8443,144.9579,Southern Metropolitan,3280.0,59,Port Phillip
89,Albert Park,24 Kerferd Pl,3,h,1800000.0,S,Marshall,10/09/2016,3.3,3206.0,3.0,2.0,1.0,90.0,122.0,Port Phillip,-37.8421,144.9571,Southern Metropolitan,3280.0,59,Port Phillip
90,Albert Park,44 Draper St,2,h,1810000.0,PI,Greg,10/12/2016,3.3,3206.0,2.0,1.0,0.0,240.0,137.37442942647843,Port Phillip,-37.8379,144.9539,Southern Metropolitan,3280.0,59,Port Phillip
91,Albert Park,2 Dundas Pl,3,h,2615000.0,S,Cayzer,10/12/2016,3.3,3206.0,3.0,2.0,1.0,177.0,181.0,Port Phillip,-37.8415,144.9585,Southern Metropolitan,3280.0,59,Port Phillip
92,Albert Park,23 Finlay St,5,h,2100000.0,S,Greg,10/12/2016,3.3,3206.0,5.0,2.0,1.0,237.0,137.37442942647843,Port Phillip,-37.8436,144.9557,Southern Metropolitan,3280.0,59,Port Phillip
93,Albert Park,31 Richardson St,3,h,1300000.0,S,hockingstuart,10/12/2016,3.3,3206.0,3.0,1.0,0.0,129.0,137.37442942647843,Port Phillip,-37.8422,144.94899999999996,Southern Metropolitan,3280.0,59,Port Phillip
94,Albert Park,4a Gatehouse La,3,h,1370000.0,S,Greg,12/06/2016,3.3,3206.0,3.0,2.0,2.0,0.0,85.0,Port Phillip,-37.8451,144.9511,Southern Metropolitan,3280.0,59,Port Phillip
95,Albert Park,60 Brooke St,2,h,1000000.0,S,Cayzer,12/11/2016,3.3,3206.0,2.0,1.0,0.0,288.0,137.37442942647843,Port Phillip,-37.8407,144.9523,Southern Metropolitan,3280.0,59,Port Phillip
96,Albert Park,70 Barrett St,3,h,2575000.0,S,Greg,15/10/2016,3.3,3206.0,3.0,2.0,1.0,228.0,137.37442942647843,Port Phillip,-37.8445,144.9501,Southern Metropolitan,3280.0,59,Port Phillip
97,Albert Park,65 Graham St,2,h,1322500.0,S,Greg,15/10/2016,3.3,3206.0,2.0,1.0,0.0,149.0,98.0,Port Phillip,-37.8443,144.9481,Southern Metropolitan,3280.0,59,Port Phillip
98,Albert Park,364 Montague St,2,h,1562500.0,S,Greg,15/10/2016,3.3,3206.0,2.0,1.0,0.0,141.0,83.0,Port Phillip,-37.8424,144.9562,Southern Metropolitan,3280.0,59,Port Phillip
99,Albert Park,86 Mills St,3,h,2000000.0,VB,RT,16/04/2016,3.3,3206.0,3.0,2.0,1.0,211.0,147.0,Port Phillip,-37.847,144.9575,Southern Metropolitan,3280.0,59,Port Phillip
100,Albert Park,129 Kerferd Rd,3,h,1900000.0,S,Greg,18/03/2017,3.3,3206.0,3.0,1.0,0.0,209.0,137.37442942647843,Port Phillip,-37.8468,144.9546,Southern Metropolitan,3280.0,59,Port Phillip
101,Albert Park,10/140 Kerferd Rd,2,u,647000.0,S,Greg,22/05/2016,3.3,3206.0,2.0,1.0,1.0,0.0,137.37442942647843,Port Phillip,-37.846,144.9542,Southern Metropolitan,3280.0,59,Port Phillip
102,Albert Park,55 Merton St,3,h,2100000.0,SP,Marshall,23/04/2016,3.3,3206.0,2.0,1.0,1.0,120.0,123.0,Port Phillip,-37.8427,144.9546,Southern Metropolitan,3280.0,59,Port Phillip
103,Albert Park,49 Page St,3,h,2000000.0,PI,Marshall,24/09/2016,3.3,3206.0,3.0,1.0,1.0,238.0,131.0,Port Phillip,-37.8461,144.9528,Southern Metropolitan,3280.0,59,Port Phillip
104,Albert Park,13/52 Moubray St,1,u,442500.0,S,Marshall,25/02/2017,3.3,3206.0,1.0,1.0,0.0,0.0,34.0,Port Phillip,-37.8421,144.9517,Southern Metropolitan,3280.0,59,Port Phillip
105,Albert Park,32 Page St,2,h,1340000.0,S,Greg,25/02/2017,3.3,3206.0,2.0,1.0,0.0,136.0,137.37442942647843,Port Phillip,-37.846,144.9517,Southern Metropolitan,3280.0,59,Port Phillip
106,Albert Park,34 Richardson St,3,h,1801000.0,S,hockingstuart,25/02/2017,3.3,3206.0,3.0,1.0,1.0,202.0,137.37442942647843,Port Phillip,-37.8429,144.9493,Southern Metropolitan,3280.0,59,Port Phillip
107,Albert Park,2b Dundas Pl,3,h,1532000.0,S,Chisholm,26/07/2016,3.3,3206.0,3.0,3.0,1.0,0.0,137.37442942647843,Port Phillip,-37.8415,144.9585,Southern Metropolitan,3280.0,59,Port Phillip
108,Albert Park,27 Barrett St,4,h,2140000.0,S,Greg,27/06/2016,3.3,3206.0,3.0,2.0,1.0,183.0,145.0,Port Phillip,-37.8434,144.9495,Southern Metropolitan,3280.0,59,Port Phillip
109,Albert Park,44 Greig St,2,h,1750000.0,S,Marshall,27/11/2016,3.3,3206.0,2.0,1.0,1.0,162.0,137.37442942647843,Port Phillip,-37.8416,144.9488,Southern Metropolitan,3280.0,59,Port Phillip
110,Albert Park,6 Brooke St,2,h,980000.0,S,Greg,28/05/2016,3.3,3206.0,2.0,1.0,0.0,79.0,68.0,Port Phillip,-37.8387,144.9519,Southern Metropolitan,3280.0,59,Port Phillip
111,Albert Park,227a Danks St,3,h,2030000.0,S,hockingstuart,28/08/2016,3.3,3206.0,3.0,2.0,0.0,152.0,137.37442942647843,Port Phillip,-37.8488,144.9551,Southern Metropolitan,3280.0,59,Port Phillip
112,Albert Park,17 Reed St,3,h,1740000.0,PI,Marshall,28/08/2016,3.3,3206.0,3.0,2.0,2.0,147.0,134.0,Port Phillip,-37.8448,144.9453,Southern Metropolitan,3280.0,59,Port Phillip
113,Albert Park,9 Durham St,1,h,985000.0,S,Marshall,30/07/2016,3.3,3206.0,1.0,1.0,0.0,81.0,54.0,Port Phillip,-37.8411,144.9497,Southern Metropolitan,3280.0,59,Port Phillip
114,Altona,158 Queen St,3,h,520000.0,VB,Greg,3/09/2016,13.8,3018.0,3.0,2.0,1.0,352.0,242.0,Hobsons Bay,-37.87,144.825,Western Metropolitan,5301.0,74,Hobsons Bay
115,Altona,59 Bracken Gr,5,h,1525000.0,S,Greg,3/12/2016,13.8,3018.0,5.0,3.0,3.0,729.0,268.0,Hobsons Bay,-37.8721,144.8105,Western Metropolitan,5301.0,74,Hobsons Bay
116,Altona,1/123 Blyth St,2,t,720000.0,S,hockingstuart,4/02/2016,13.8,3018.0,2.0,1.0,2.0,292.0,125.0,Hobsons Bay,-37.8687,144.8197,Western Metropolitan,5301.0,74,Hobsons Bay
117,Altona,4 Blyth St,3,h,1120000.0,S,Barlow,4/03/2017,13.8,3018.0,3.0,1.0,2.0,506.0,120.0,Hobsons Bay,-37.8693,144.8375,Western Metropolitan,5301.0,74,Hobsons Bay
118,Altona,20 Linnet St,4,h,780000.0,PI,Sweeney,4/06/2016,13.8,3018.0,4.0,1.0,4.0,655.0,137.37442942647843,Hobsons Bay,-37.868,144.8154,Western Metropolitan,5301.0,74,Hobsons Bay
119,Altona,29 Rose St,4,h,1780000.0,SP,Greg,4/06/2016,13.8,3018.0,4.0,3.0,6.0,1057.0,220.0,Hobsons Bay,-37.8681,144.819,Western Metropolitan,5301.0,74,Hobsons Bay
120,Altona,1/170 Blyth St,3,u,630000.0,S,Barlow,6/08/2016,13.8,3018.0,2.0,1.0,2.0,311.0,94.0,Hobsons Bay,-37.8702,144.8143,Western Metropolitan,5301.0,74,Hobsons Bay
121,Altona,5/35 Grieve Pde,2,u,406000.0,SP,hockingstuart,6/08/2016,13.8,3018.0,2.0,1.0,1.0,65.0,137.37442942647843,Hobsons Bay,-37.8693,144.8171,Western Metropolitan,5301.0,74,Hobsons Bay
122,Altona,156 Maidstone St,3,h,660000.0,VB,Greg,7/05/2016,13.8,3018.0,3.0,1.0,1.0,602.0,123.0,Hobsons Bay,-37.8616,144.8116,Western Metropolitan,5301.0,74,Hobsons Bay
